PlayerId, Name, Weight, Height, Age, Position, TeamId
1,유상훈,84,194,34,GK,1
2,김영빈,74,181,33,DF,1
3,서민우,75,184,26,MF,1
4,이웅희,80,183,35,DF,1
5,알리바예프,70,173,30,MF,1
6,한국영,73,183,34,MF,1
7,강지훈,64,177,27,MF,1
8,이재원,66,170,27,MF,1
9,'유인수,71,177,29,DF,1
10,이정협,76,186,33,FW,1
11,윤석영,75,183,34,DF,1
12,김우석,74,189,28,DF,1
13,김진호,74,178,24,DF,1
14,이광연,82,184,25,GK,1
15,이승원,66,173,20,MF,1
16,이지우,68,175,20,DF,1
17,김현규,70,178,23,MF,1
18,최성민,75,179,21,FW,1
19,권석주,63,178,21,DF,1
20,김해승,80,185,21,FW,1
21,전현병,84,188,24,DF,1
22,이강한,68,176,24,DF,1
23,홍성무,67,173,21,MF,1
24,가브리엘,80,187,24,FW,1
25,윤일록,67,178,32,MF,1
26,김경민,76,189,25,GK,2
27,이준,79,190,28,GK,2
28,노희동,80,188,27,GK,2
29,김태준,77,185,24,GK,2
30,엄지성,65,177,21,FW,2
31,허 율,72,179,24,FW,2
32,아사니,80,185,30,FW,2
33,신창무,75,180,26,FW,2
34,이건희,73,176,28,FW,2
35,하승운,69,180,25,FW,2
36,정지훈,71,178,27,FW,2
37,토마스,82,188,29,FW,2
38,주영재,74,183,26,FW,2
39,베 카,85,190,31,FW,2
40,정호연,70,182,24,MF,2
41,이희균,70,172,26,MF,2
42,최준혁,73,178,27,MF,2
43,이강현,75,183,25,MF,2
44,박한빈,71,179,28,MF,2
45,이순민,73,180,25,MF,2
46,오후성,72,176,27,MF,2
47,이민기,76,185,29,DF,2
48,김승우,78,183,30,DF,2
49,티 모,80,188,28,DF,2
50,안영규,77,186,31,DF,2
51,이으뜸,75,180,27,DF,2
52,김한길,73,181,29,DF,2
53,두현석,80,185,26,DF,2
54,김경재,75,187,30,DF,2
55,이상기,72,180,27,DF,2
56,김동국,74,182,26,DF,2
57,아 론,78,187,28,DF,2
58,최영은,83,188,28,GK,3
59,황재원,73,184,21,DF,3
60,안창민,68,176,25,MF,3
61,장성원,68,175,23,MF,3
62,홍정운,84,184,26,DF,3
63,김진혁,76,188,29,FW,3
64,세라토,67,172,25,MF,3
65,에드가,81,190,32,FW,3
66,세징야,72,173,34,FW,3
67,그라지에,74,180,28,MF,3
68,오승훈,85,186,33,GK,3
69,이근호,68,176,38,FW,3
70,박종진,73,175,27,MF,3
71,서보민,78,178,34,MF,3
72,이진용,82,184,25,DF,3
73,김동현,75,182,26,MF,3
74,최민기,80,185,22,DF,3
75,박재현,69,177,21,MF,3
76,박용희,83,190,23,DF,3
77,한태희,71,179,33,MF,3
78,홍철,74,176,32,DF,3
79,손승우,65,172,24,DF,3
80,윤태민,76,180,24,DF,3
81,김희승,69,178,24,MF,3
82,이종훈,66,174,20,MF,3
83,배수민,84,185,21,DF,3
84,박재혁,73,180,22,FW,3
85,신한결,78,183,23,DF,3
86,정윤성,71,175,19,MF,3
87,유지호,70,177,24,MF,3
88,김리찬,72,179,19,MF,3
89,한지윤,75,183,19,DF,3
90,조진우,81,190,23,GK,3
91,페냐,74,176,26,MF,3
92,이용래,76,183,36,MF,3
93,바셀루스,80,187,30,FW,3
94,이창근,75,186,30,GK,4
95,서영재,71,182,28,DF,4
96,김민덕,78,183,27,DF,4
97,김현우,74,183,25,DF,4
98,임덕근,77,183,23,DF,4
99,임은수,70,181,27,MF,4
100,마사,68,180,28,FW,4
101,주세종,67,174,33,MF,4
102,유강현,75,186,27,FW,4
103,김인균,66,173,26,MF,4
104,전병관,72,178,22,FW,4
105,김영욱,70,177,32,MF,4
106,변준수,82,190,23,DF,4
107,김경환,73,180,20,MF,4
108,이현식,66,175,28,MF,4
109,신상은,72,185,25,FW,4
110,조유민,79,182,27,DF,4
111,오재석,74,178,34,DF,4
112,정산,86,191,35,GK,4
113,배서준,67,173,20,DF,4
114,이준서,82,185,26,GK,4
115,김지훈,60,175,24,DF,4
116,이종현,71,176,27,DF,4
117,티아고,75,188,30,FW,4
118,김도윤,66,176,22,MF,4
119,이은재,71,178,21,MF,4
120,임유석,83,190,23,DF,4
121,김태현,74,182,21,DF,4
122,최재현,80,184,30,DF,4
123,정강민,67,175,19,MF,4
124,안태윤,78,186,23,GK,4
125,정진우,80,188,19,MF,4
126,유선우,67,180,20,FW,4
127,이동원,66,180,22,FW,4
128,정원식,82,185,22,DF,4
129,배상필,84,189,22,GK,4
130,이한빈,82,186,21,DF,4
131,정우빈,66,175,23,FW,4
132,이선호,68,175,21,DF,4
133,레안드로,65,178,29,FW,4
134,강윤성,65,172,27,DF,4
135,이선유,70,175,23,FW,4
136,이진현,69,170,27,MF,4
137,안톤,76,186,26,DF,4
138,구텍,78,187,29,FW,4
139,백종범,85,190,22,GK,5
140,황현수,80,183,28,DF,5
141,권완규,80,183,32,DF,5
142,오스마르,86,192,35,MF,5
143,기성용,75,189,34,MF,5
144,나상호,70,173,27,FW,5
145,이승모,70,185,25,MF,5
146,김신진,82,186,22,FW,5
147,지동원,81,188,32,FW,5
148,강성진,76,178,20,FW,5
149,고요한,65,170,35,MF,5
150,임상협,74,180,35,MF,5
151,김진야,68,177,25,DF,5
152,황성민,83,188,32,GK,5
153,김경민,81,186,26,FW,5
154,김현덕,75,183,19,DF,5
155,최철원,87,194,29,GK,5
156,이시영,65,173,26,DF,5
157,서주환,79,190,24,GK,5
158,정현철,72,187,30,MF,5
159,비욘 존슨,82,196,32,FW,5
160,팔로세비치,70,180,30,MF,5
161,김윤겸,66,172,19,MF,5
162,김주성,76,186,22,DF,5
163,서재민,73,178,20,MF,5
164,조영광,67,173,19,DF,5
165,백상훈,62,173,21,MF,5
166,안재민,67,176,20,DF,5
167,손승범,65,180,19,FW,5
168,이지석,67,182,19,DF,5
169,박성훈,72,183,20,DF,5
170,박장한결,64,176,19,MF,5
171,한승규,63,173,27,MF,5
172,이승준,61,170,19,MF,5
173,김성민,73,180,22,MF,5
174,황도윤,73,176,20,MF,5
175,이태석,61,174,21,DF,5
176,일류첸코,82,189,33,FW,5
177,강상희,73,180,25,DF,5
178,윌리안,62,170,29,FW,5
179,박수일,68,178,27,DF,5
180,아이에쉬,72,180,28,FW,5
181,조영욱,73,181,24,FW,5
182,장호익,62,173,30,DF,6
183,불투이스,78,192,33,DF,6
184,한호강,80,186,30,DF,6
185,한석종,72,184,31,MF,6
186,고승범,70,173,29,MF,6
187,최성근,73,183,32,MF,6
188,안병준,75,183,33,FW,6
189,정승원,68,173,26,MF,6
190,김태환,74,174,23,DF,6
191,김보경,72,176,34,MF,6
192,전진우,74,181,24,FW,6
193,고명석,90,189,28,DF,6
194,이종성,72,187,31,MF,6
195,김경중,69,179,32,FW,6
196,아코스티,76,178,33,FW,6
197,강태원,68,175,23,MF,6
198,박희준,80,191,22,FW,6
199,양형모,84,185,32,GK,6
200,권창훈,66,174,29,MF,6
201,이기제,68,175,32,DF,6
202,허동호,75,181,23,MF,6
203,장석환,70,178,19,DF,6
204,염기훈,80,182,40,MF,6
205,이규석,77,182,22,DF,6
206,이상민,73,175,19,FW,6
207,진현태,70,178,22,MF,6
208,이성주,85,192,25,GK,6
209,서동한,66,172,22,FW,6
210,박대원,76,178,25,DF,6
211,박지민,88,189,24,GK,6
212,명준재,68,178,29,MF,6
213,김주찬,71,174,19,FW,6
214,뮬리치,84,203,29,FW,6
215,웨릭 포포,88,190,22,FW,6
216,김주원,78,185,32,DF,6
217,손호준,65,175,21,DF,6
218,카즈키,65,173,29,MF,6
219,유제호,72,178,23,MF,6
220,바사니,80,187,26,FW,6
221,안찬기,80,187,26,GK,6
222,고무열,75,187,33,FW,6
223,윤서호,72,176,25,DF,6
224,고종현,88,191,18,DF,6
225,곽성훈,84,190,18,DF,6
226,김성주,63,168,17,MF,6
227,박승수,71,182,17,MF,6
228,임현섭,73,184,18,MF,6
229,박배종,78,185,34,GK,7
